review_text,rating,date
"I keep seeing reels I already watched, the recommendations are broken",3,2026-02-03
Every story I try to post fails and drains my battery retrying,2,2026-05-30
"Great app, I use it every day to keep up with friends",5,2026-04-01
Constant crashing when switching between accounts on Android,2,2026-02-18
"Great app, I use it every day to keep up with friends please fix this",5,2026-03-30
Notifications for DMs are delayed or never show up using latest version,3,2026-03-22
"Love the new editing tools in reels, super smooth",5,2026-05-28
"Love the new editing tools in reels, super smooth seriously",4,2026-01-20
"Two factor authentication loop, can't log in for three days anyone else?",2,2026-05-11
"Way too many ads, more ads than posts from people I follow honestly",2,2026-05-23
"DM notifications arrive hours late, I miss messages constantly",2,2026-02-13
Someone changed my email and Instagram gives me no way to recover,2,2026-04-17
"Instagram closes itself after two seconds, reinstalled twice already",1,2026-04-04
"Way too many ads, more ads than posts from people I follow",2,2026-04-09
Reels feed only shows me the same 5 creators over and over,2,2026-01-12
"Every third post is an ad now, the feed is unusable",1,2026-05-25
"Sponsored posts everywhere, I opened the app to see friends not ads seriously",1,2026-02-27
"Upload failed error on every story since the last update, so annoying honestly",1,2025-12-14
Notifications for DMs are delayed or never show up,2,2026-02-01
"Two factor authentication loop, can't log in for three days on Android",1,2026-04-29
"Sponsored posts everywhere, I opened the app to see friends not ads",2,2026-04-23
"Every third post is an ad now, the feed is unusable honestly",1,2026-05-24
"Locked out of my account, the verification code never arrives",1,2026-04-24
Crashes every time I open the camera inside the app,2,2026-04-17
"Great app, I use it every day to keep up with friends",4,2025-12-22
"Stories stuck on posting forever, I have to force close the app using latest version",2,2025-12-30
"The number of ads is insane lately, considering deleting the app on my iPhone",1,2026-04-08
"Every third post is an ad now, the feed is unusable",3,2026-01-15
App crashes immediately when I open it on my Samsung,1,2026-01-08
The reels algorithm pushes random content I never interact with honestly,2,2026-02-28
"My stories keep failing to upload, stuck at 99% every single time",1,2026-04-01
My account was hacked and support never responds to my reports,2,2026-03-29
"Locked out of my account, the verification code never arrives",2,2026-05-02
"DM notifications arrive hours late, I miss messages constantly",2,2026-01-03
"My stories keep failing to upload, stuck at 99% every single time",1,2026-03-16
Freezes then crashes whenever I open DMs,2,2026-05-11
App crashes immediately when I open it on my Samsung on my iPhone,1,2026-03-27
"Instagram closes itself after two seconds, reinstalled twice already",2,2026-06-06
Not getting message notifications at all unless I open the app using latest version,3,2026-05-08
App keeps crashing on Android 14 since yesterday's update,1,2026-03-23
"Every third post is an ad now, the feed is unusable on Android",2,2026-02-22
App keeps crashing on Android 14 since yesterday's update,1,2026-04-10
"Engagement dropped 90 percent, reels are not being shown to my followers",3,2025-12-30
The reels algorithm pushes random content I never interact with,2,2026-05-06
"My stories keep failing to upload, stuck at 99% every single time",1,2026-01-18
"Stories won't upload on wifi or data, been like this for a week",3,2026-01-22
App crashes immediately when I open it on my Samsung please fix this,1,2025-12-24
"Engagement dropped 90 percent, reels are not being shown to my followers",3,2026-02-13
"Stories stuck on posting forever, I have to force close the app on Android",2,2026-03-31
"DM notifications arrive hours late, I miss messages constantly anyone else?",3,2026-04-10
"Can't post stories anymore, it just says upload failed try again anyone else?",3,2025-12-26
The new font options for stories are really nice,4,2026-03-15
Every story I try to post fails and drains my battery retrying anyone else?,2,2026-05-21
"Way too many ads, more ads than posts from people I follow on Android",2,2026-05-28
App keeps crashing on Android 14 since yesterday's update please fix this,1,2026-01-01
The reels algorithm pushes random content I never interact with,2,2026-05-18
Not getting message notifications at all unless I open the app,2,2026-05-23
"Engagement dropped 90 percent, reels are not being shown to my followers on my iPhone",1,2026-04-13
"I keep seeing reels I already watched, the recommendations are broken on Android",3,2026-02-28
"Two factor authentication loop, can't log in for three days",1,2026-03-22
"Stories stuck on posting forever, I have to force close the app",1,2026-01-20
Freezes then crashes whenever I open DMs,2,2025-12-28
Freezes then crashes whenever I open DMs,1,2026-01-25
"Stories won't upload on wifi or data, been like this for a week",2,2026-04-15
Reels feed only shows me the same 5 creators over and over,3,2026-03-22
My account was hacked and support never responds to my reports,1,2026-01-24
"Instagram closes itself after two seconds, reinstalled twice already on Android",1,2026-02-14
"My reels get zero reach anymore, the algorithm buried my account",1,2026-03-08
Someone changed my email and Instagram gives me no way to recover,2,2026-02-12
"The number of ads is insane lately, considering deleting the app",1,2026-01-23
"My reels get zero reach anymore, the algorithm buried my account please fix this",2,2026-03-05
Not getting message notifications at all unless I open the app,3,2025-12-24
App crashes immediately when I open it on my Samsung,1,2026-05-02
Crashes every time I open the camera inside the app,2,2026-03-24
Reels feed only shows me the same 5 creators over and over,1,2025-12-21
The reels algorithm pushes random content I never interact with,3,2026-04-09
Constant crashing when switching between accounts,1,2026-05-20
Not getting message notifications at all unless I open the app seriously,2,2026-03-08
Constant crashing when switching between accounts,1,2025-12-18
Someone changed my email and Instagram gives me no way to recover,2,2026-04-16
My account was hacked and support never responds to my reports,1,2026-05-18
"My reels get zero reach anymore, the algorithm buried my account",1,2026-04-17
Suspicious login locked my account and the appeal form is broken,1,2026-01-12
My account was hacked and support never responds to my reports,1,2026-05-27
"Engagement dropped 90 percent, reels are not being shown to my followers on my iPhone",1,2026-05-06
The new font options for stories are really nice,5,2025-12-23
Every story I try to post fails and drains my battery retrying,3,2026-02-22
Suspicious login locked my account and the appeal form is broken on Android,1,2026-03-03
"Upload failed error on every story since the last update, so annoying anyone else?",1,2026-03-05
"Stories won't upload on wifi or data, been like this for a week seriously",1,2025-12-23
Reels feed only shows me the same 5 creators over and over using latest version,3,2025-12-16
"Love the new editing tools in reels, super smooth",5,2026-01-05
"The number of ads is insane lately, considering deleting the app",1,2025-12-24
Crashes every time I open the camera inside the app honestly,2,2026-02-02
"Best social app out there, works great on my phone anyone else?",5,2026-02-01
Suspicious login locked my account and the appeal form is broken,1,2026-01-13
"Can't post stories anymore, it just says upload failed try again",1,2026-03-05
"Locked out of my account, the verification code never arrives",1,2026-02-22
"I keep seeing reels I already watched, the recommendations are broken",1,2025-12-17
"Two factor authentication loop, can't log in for three days",1,2026-02-17
"I keep seeing reels I already watched, the recommendations are broken",3,2025-12-18
"Instagram closes itself after two seconds, reinstalled twice already",2,2026-01-09
"Best social app out there, works great on my phone",4,2026-04-04
Someone changed my email and Instagram gives me no way to recover seriously,1,2025-12-20
Crashes every time I open the camera inside the app,2,2026-03-05
"My reels get zero reach anymore, the algorithm buried my account anyone else?",3,2026-01-18
"Stories stuck on posting forever, I have to force close the app",1,2026-02-01
"Upload failed error on every story since the last update, so annoying",3,2026-05-10
Freezes then crashes whenever I open DMs on my iPhone,1,2026-01-23
"My stories keep failing to upload, stuck at 99% every single time using latest version",3,2026-01-03
The new font options for stories are really nice,4,2026-03-17
"Sponsored posts everywhere, I opened the app to see friends not ads",1,2026-03-31
App keeps crashing on Android 14 since yesterday's update,2,2026-01-26
Notifications for DMs are delayed or never show up,3,2026-04-05
"Upload failed error on every story since the last update, so annoying",1,2026-05-18
"Way too many ads, more ads than posts from people I follow",1,2026-01-11
"Can't post stories anymore, it just says upload failed try again on my iPhone",3,2026-04-22
Notifications for DMs are delayed or never show up using latest version,2,2026-02-18
Suspicious login locked my account and the appeal form is broken,1,2026-05-29
"Best social app out there, works great on my phone",5,2026-04-30
Every story I try to post fails and drains my battery retrying,3,2026-03-31
"Stories won't upload on wifi or data, been like this for a week",2,2026-03-14
"Can't post stories anymore, it just says upload failed try again",1,2026-05-06
"The number of ads is insane lately, considering deleting the app",1,2026-05-23
Constant crashing when switching between accounts using latest version,1,2026-05-02
"Locked out of my account, the verification code never arrives anyone else?",1,2026-02-26
"Sponsored posts everywhere, I opened the app to see friends not ads",1,2026-01-11
"DM notifications arrive hours late, I miss messages constantly using latest version",2,2026-03-13
