"S.No","Source","Reviewer_Name","Date","Star_Rating","Review_Text","Helpful_Count"
"1","Google Play Store","Rana Kar","3 August 2026","1","Not recommended. It doesn't have any curriculum or commitment. They only sell number of classes. They would cover a simple topic in 8 to 10 classes which can be done in 1 to 2 classes. And once you realize that, question it and refuse to renew another set of 30 or 45 classes they would stop the kid attending the existing classes. Their academic council or support are not reachable for any support and their sales team proactively disturbs you calling even if you ask them not to do so.","2"
"2","Google Play Store","Rekha Nagaraj","12 August 2026","1","We had to cancel our program subscription owing to certain unforeseen circumstance. Our cancellation request was kept hanging for months and now the team is giving us tough time and not processing our refund request despite the requirements of refund policy being met. Totally feeling helpless.","1"
"3","Google Play Store","Kulwant Singh","27 June 2026","1","first they will call you and persuade you in whatever way to attend free class. after that they start pressurising you like recovery agents to buy their course. ""then why did you attend the class today"" they said to me when I refused to buy their course, we attended free class on their request only.","10"
"4","Google Play Store","Naysha singh","23 April 2026","1","My experience with the Bhanzu app has been very disappointing. The classes are irregular and often get cancelled without prior notice. Sometimes, teachers are on leave, which disrupts continuity. There is no proper way to communicate directly with the teacher, and customer care is usually unaware of class cancellations. The teaching method is also not effective, as it includes unnecessarily complicated calculations that confuse young students instead of helping them understand concepts clearly.","8"
"5","Google Play Store","Shahida Sayyed","20 August 2023","1","Ever since the app is installed (precisely past 1 week), nothing on the app works. Error shows as ""something went wrong"" whenever I access anything on the app. There is no way to request a call back from Relationship Manager or raise an issue from the app. Very disappointing experience as a parent!","41"
"6","Google Play Store","Soni Singh","31 January 2024","1","This app has the worst experience that I have used till now as the time of joining after you attend their demo session but after that when they get access of your mobile number they will you 100 times to take the subscription they will call you many times to take the subscription and bother you and they assure you also that they will refund your money if you didn't likes the class but in some conditions I have fullfilled both the conditions but they are not ready to refund my money. So bad...","21"
"7","Google Play Store","Mona Rajendran","26 May 2023","1","App is fine, not good though. For I am frustrated with the login procedure. It doesn't work! No matter how hard I try, A loading icon is slapped onto my screen every time! Please fix this problem with your database. After trying ten times, It didn't work!","38"
"8","Google Play Store","ViveK","12 June 2026","1","worst app and institute for kids to learn. Totally commercial, don't care if the kid is understanding or not. Teacher is changed in the middle of the course. and teacher is only interested in finishing her session for the day","4"
"9","Google Play Store","Bhawna kumari","12 March 2026","1","The interface they had was very poor and inconvenient to use. The screen was extremely small, which made it difficult to view the information clearly.The digits and text displayed were also very small, and even after zooming in they were not properly visible. This created a lot of difficulty while reading or understanding the content.Classes are not conducted regularly,which creates difficulty in maintaining continuity in studies. The teacher is often on leave, due to which manyclassesgetcancel","13"
"10","Google Play Store","bhavna jain","24 December 2024","1","It is the worst course you will ever want to join your kids, worst customer support and they are only there to loot your money...ver very bad and worst. We enrolled our kid and my kid is not showing interest so we asked that we will drop and asked for refund but there is no response from anyone and though my kid is not attending classes still the amount is getting deducted. It is bunch of idiots running this course. My sincere request please don't join your kid bcoz there is no proper system.","23"
"11","Google Play Store","Deepthi Samuel","11 September 2024","1","It is the worst course you will ever want to join your kids, worst customer support and they are only there to loot your money...ver very bad and worst. We enrolled our kid and my kid is not showing interest so we asked that we will drop and asked for refund but there is no response from anyone and though my kid is not attending classes still the amount is getting deducted. It is bunch of idiots running this course. My sincere request please don't join your kid bcoz there is no proper system.","18"
"12","Google Play Store","hamshi","27 April 2025","1","I enrolled my child in Bhanzu’s online math class but had a very bad experience. Even though we attended only 2.5 months, they asked me to pay half the full course fee (for 18 months). I even offered to let them keep the 6 months' payment I already made as a security deposit, but they refused. Now they are not even responding to my emails. Very disappointed with their unfair policies and poor support","17"
